Trades,Buy price,Sell price,P&L
0,181.0,186.0,135.0
1,188.0,186.0,-54.0
2,180.0,182.0,56.0
3,187.0,190.0,81.0
4,193.0,199.0,162.0
5,202.0,204.0,52.0
6,209.0,221.0,300.0
7,213.0,207.0,-156.0
8,213.0,210.0,-78.0
9,160.0,170.0,340.0
10,182.0,205.0,736.0
11,216.0,225.0,270.0
12,238.0,224.0,-392.0
13,238.0,234.0,-108.0
14,233.0,239.0,162.0
15,245.0,241.0,-104.0
16,253.0,,
