Trades,Buy price,Sell price,P&L
0,159.0,161.0,62.0
1,167.0,163.0,-120.0
2,168.0,179.0,319.0
3,180.0,200.0,580.0
4,210.0,207.0,-81.0
5,220.0,209.0,-286.0
6,217.0,232.0,375.0
7,244.0,245.0,23.0
8,248.0,249.0,23.0
9,250.0,272.0,506.0
10,284.0,273.0,-242.0
11,249.0,269.0,480.0
12,296.0,292.0,-88.0
13,304.0,340.0,756.0
14,374.0,351.0,-437.0
15,381.0,369.0,-216.0
16,384.0,409.0,425.0
17,424.0,,
