Trades,Buy price,Sell price,P&L
0,32.0,30.0,-312.0
1,31.0,31.0,0.0
2,30.0,31.0,156.0
3,26.0,27.0,186.0
4,28.0,29.0,179.0
5,30.0,36.0,1038.0
6,38.0,36.0,-328.0
7,40.0,39.0,-147.0
8,21.0,22.0,274.0
9,25.0,28.0,723.0
10,30.0,34.0,900.0
11,36.0,36.0,0.0
12,32.0,30.0,-478.0
13,32.0,32.0,0.0
14,32.0,,
